Категория,Тип,Название,Порядковый номер,Описание
1. 🛒 Доступ до покупок,Главная статья,Ваша бібліотека BlackSea,0,"Основная статья категории ""1. 🛒 Доступ до покупок"""
1. 🛒 Доступ до покупок,Подкатегория,Як отримати доступ до моєї покупки?,1,"Статья подкатегории в разделе ""1. 🛒 Доступ до покупок"""
1. 🛒 Доступ до покупок,Подкатегория,Як відкривати ZIP та RAR файли,2,"Статья подкатегории в разделе ""1. 🛒 Доступ до покупок"""
1. 🛒 Доступ до покупок,Подкатегория,Як надіслати покупки на Kindle,3,"Статья подкатегории в разделе ""1. 🛒 Доступ до покупок"""
1. 🛒 Доступ до покупок,Подкатегория,Як надіслати покупку в Dropbox та Google Drive,4,"Статья подкатегории в разделе ""1. 🛒 Доступ до покупок"""
1. 🛒 Доступ до покупок,Подкатегория,Коли буде відправлено мій цифровий товар?,5,"Статья подкатегории в разделе ""1. 🛒 Доступ до покупок"""
1. 🛒 Доступ до покупок,Подкатегория,Керівництво з підписок і членства,6,"Статья подкатегории в разделе ""1. 🛒 Доступ до покупок"""
1. 🛒 Доступ до покупок,Подкатегория,Як оцінити та залишити відгук про покупку,7,"Статья подкатегории в разделе ""1. 🛒 Доступ до покупок"""
1. 🛒 Доступ до покупок,Подкатегория,Завантаження контенту в offline режимі,8,"Статья подкатегории в разделе ""1. 🛒 Доступ до покупок"""
2. 🔍 Перед покупкою,Главная статья,Безпечні покупки на BlackSea,0,"Основная статья категории ""2. 🔍 Перед покупкою"""
2. 🔍 Перед покупкою,Подкатегория,Керівництво для покупців на BlackSea,1,"Статья подкатегории в разделе ""2. 🔍 Перед покупкою"""
2. 🔍 Перед покупкою,Подкатегория,Чому мій платіж не пройшов?,2,"Статья подкатегории в разделе ""2. 🔍 Перед покупкою"""
2. 🔍 Перед покупкою,Подкатегория,Як подарувати цифровий продукт?,3,"Статья подкатегории в разделе ""2. 🔍 Перед покупкою"""
2. 🔍 Перед покупкою,Подкатегория,Списки бажань та колекції,4,"Статья подкатегории в разделе ""2. 🔍 Перед покупкою"""
2. 🔍 Перед покупкою,Подкатегория,"Що робити, якщо продукт не відповідає очікуванням?",5,"Статья подкатегории в разделе ""2. 🔍 Перед покупкою"""
2. 🔍 Перед покупкою,Подкатегория,Перевірка автентичності продавців,6,"Статья подкатегории в разделе ""2. 🔍 Перед покупкою"""
3. 🔐 Реєстрація та налаштування акаунту,Главная статья,Чому обрати BlackSea? Переваги української платформи,0,"Основная статья категории ""3. 🔐 Реєстрація та налаштування акаунту"""
3. 🔐 Реєстрація та налаштування акаунту,Подкатегория,Налаштування облікового запису,1,"Статья подкатегории в разделе ""3. 🔐 Реєстрація та налаштування акаунту"""
3. 🔐 Реєстрація та налаштування акаунту,Подкатегория,"Продаж цифрових послуг: фріланс, коучинг, донати",2,"Статья подкатегории в разделе ""3. 🔐 Реєстрація та налаштування акаунту"""
3. 🔐 Реєстрація та налаштування акаунту,Подкатегория,Захист приватності українських творців,3,"Статья подкатегории в разделе ""3. 🔐 Реєстрація та налаштування акаунту"""
3. 🔐 Реєстрація та налаштування акаунту,Подкатегория,Створення власного сайту на BlackSea,4,"Статья подкатегории в разделе ""3. 🔐 Реєстрація та налаштування акаунту"""
3. 🔐 Реєстрація та налаштування акаунту,Подкатегория,Правила та обмеження для українського ринку,5,"Статья подкатегории в разделе ""3. 🔐 Реєстрація та налаштування акаунту"""
3. 🔐 Реєстрація та налаштування акаунту,Подкатегория,Контент для дорослих: українське законодавство,6,"Статья подкатегории в разделе ""3. 🔐 Реєстрація та налаштування акаунту"""
3. 🔐 Реєстрація та налаштування акаунту,Подкатегория,Робота з кількома акаунтами згідно з українським правом,7,"Статья подкатегории в разделе ""3. 🔐 Реєстрація та налаштування акаунту"""
3. 🔐 Реєстрація та налаштування акаунту,Подкатегория,Налаштування виплат на українські картки,8,"Статья подкатегории в разделе ""3. 🔐 Реєстрація та налаштування акаунту"""
3. 🔐 Реєстрація та налаштування акаунту,Подкатегория,Двофакторна автентифікація та безпека,9,"Статья подкатегории в разделе ""3. 🔐 Реєстрація та налаштування акаунту"""
3. 🔐 Реєстрація та налаштування акаунту,Подкатегория,Статус ФОП: реєстрація та налаштування,10,"Статья подкатегории в разделе ""3. 🔐 Реєстрація та налаштування акаунту"""
4. 📦 Додавання та налаштування продукту,Главная статья,Створення та публікація продукту на BlackSea,0,"Основная статья категории ""4. 📦 Додавання та налаштування продукту"""
4. 📦 Додавання та налаштування продукту,Подкатегория,Підготовка відео для українських глядачів,1,"Статья подкатегории в разделе ""4. 📦 Додавання та налаштування продукту"""
4. 📦 Додавання та налаштування продукту,Подкатегория,Додавання обкладинок та превью зображень,2,"Статья подкатегории в разделе ""4. 📦 Додавання та налаштування продукту"""
4. 📦 Додавання та налаштування продукту,Подкатегория,Українські URL-адреси для продуктів,3,"Статья подкатегории в разделе ""4. 📦 Додавання та налаштування продукту"""
4. 📦 Додавання та налаштування продукту,Подкатегория,Продаж підписок і абонементів українською мовою,4,"Статья подкатегории в разделе ""4. 📦 Додавання та налаштування продукту"""
4. 📦 Додавання та налаштування продукту,Подкатегория,Налаштування касової сторінки,5,"Статья подкатегории в разделе ""4. 📦 Додавання та налаштування продукту"""
4. 📦 Додавання та налаштування продукту,Подкатегория,Адаптація файлів для мобільних пристроїв,6,"Статья подкатегории в разделе ""4. 📦 Додавання та налаштування продукту"""
4. 📦 Додавання та налаштування продукту,Подкатегория,Оптимізація відео для українського інтернету,7,"Статья подкатегории в разделе ""4. 📦 Додавання та налаштування продукту"""
4. 📦 Додавання та налаштування продукту,Подкатегория,Налаштування версій та оновлень,8,"Статья подкатегории в разделе ""4. 📦 Додавання та налаштування продукту"""
4. 📦 Додавання та налаштування продукту,Подкатегория,Ціноутворення 'плати скільки хочеш' в гривнях,9,"Статья подкатегории в разделе ""4. 📦 Додавання та налаштування продукту"""
4. 📦 Додавання та налаштування продукту,Подкатегория,Метадані для аудіофайлів українською,10,"Статья подкатегории в разделе ""4. 📦 Додавання та налаштування продукту"""
4. 📦 Додавання та налаштування продукту,Подкатегория,Зняття з публікації або видалення продукту,11,"Статья подкатегории в разделе ""4. 📦 Додавання та налаштування продукту"""
4. 📦 Додавання та налаштування продукту,Подкатегория,Партнерська програма BlackSea для українців,12,"Статья подкатегории в разделе ""4. 📦 Додавання та налаштування продукту"""
4. 📦 Додавання та налаштування продукту,Подкатегория,Обмеження розміру файлів та рекомендації,13,"Статья подкатегории в разделе ""4. 📦 Додавання та налаштування продукту"""
4. 📦 Додавання та налаштування продукту,Подкатегория,Панель керування продуктами,14,"Статья подкатегории в разделе ""4. 📦 Додавання та налаштування продукту"""
4. 📦 Додавання та налаштування продукту,Подкатегория,Збірки та пакети продуктів,15,"Статья подкатегории в разделе ""4. 📦 Додавання та налаштування продукту"""
4. 📦 Додавання та налаштування продукту,Подкатегория,Співпраця з іншими українськими авторами,16,"Статья подкатегории в разделе ""4. 📦 Додавання та налаштування продукту"""
4. 📦 Додавання та налаштування продукту,Подкатегория,Розстрочка платежів для українських клієнтів,17,"Статья подкатегории в разделе ""4. 📦 Додавання та налаштування продукту"""
5. 🚀 Початок продажів,Главная статья,Захист контенту на BlackSea від піратства,0,"Основная статья категории ""5. 🚀 Початок продажів"""
5. 🚀 Початок продажів,Подкатегория,Повернення коштів згідно з українським законодавством,1,"Статья подкатегории в разделе ""5. 🚀 Початок продажів"""
5. 🚀 Початок продажів,Подкатегория,Тестування покупок перед запуском,2,"Статья подкатегории в разделе ""5. 🚀 Початок продажів"""
5. 🚀 Початок продажів,Подкатегория,Аналітика продажів з українською локалізацією,3,"Статья подкатегории в разделе ""5. 🚀 Початок продажів"""
5. 🚀 Початок продажів,Подкатегория,Клієнти не отримують чеки на українську пошту,4,"Статья подкатегории в разделе ""5. 🚀 Початок продажів"""
5. 🚀 Початок продажів,Подкатегория,BlackSea Discovery: пошук українського контенту,5,"Статья подкатегории в разделе ""5. 🚀 Початок продажів"""
5. 🚀 Початок продажів,Подкатегория,Чарджбеки та спірні платежі в Україні,6,"Статья подкатегории в разделе ""5. 🚀 Початок продажів"""
5. 🚀 Початок продажів,Подкатегория,Налаштування SEO для українського ринку,7,"Статья подкатегории в разделе ""5. 🚀 Початок продажів"""
5. 🚀 Початок продажів,Подкатегория,Скасування підписок клієнтів,8,"Статья подкатегории в разделе ""5. 🚀 Початок продажів"""
5. 🚀 Початок продажів,Подкатегория,Мобільний додаток BlackSea,9,"Статья подкатегории в разделе ""5. 🚀 Початок продажів"""
5. 🚀 Початок продажів,Подкатегория,Українська бібліотека цифрового контенту,10,"Статья подкатегории в разделе ""5. 🚀 Початок продажів"""
5. 🚀 Початок продажів,Подкатегория,Чому платежі українських клієнтів не проходять,11,"Статья подкатегории в разделе ""5. 🚀 Початок продажів"""
5. 🚀 Початок продажів,Подкатегория,Панель продажів з українською аналітикою,12,"Статья подкатегории в разделе ""5. 🚀 Початок продажів"""
5. 🚀 Початок продажів,Подкатегория,Як BlackSea працює для українських клієнтів,13,"Статья подкатегории в разделе ""5. 🚀 Початок продажів"""
5. 🚀 Початок продажів,Подкатегория,Адаптація цін для української економіки,14,"Статья подкатегории в разделе ""5. 🚀 Початок продажів"""
5. 🚀 Початок продажів,Подкатегория,Створення допродажів та апсейлів,15,"Статья подкатегории в разделе ""5. 🚀 Початок продажів"""
5. 🚀 Початок продажів,Подкатегория,Рекомендації пов'язаних продуктів,16,"Статья подкатегории в разделе ""5. 🚀 Початок продажів"""
5. 🚀 Початок продажів,Подкатегория,Індивідуальна політика повернень,17,"Статья подкатегории в разделе ""5. 🚀 Початок продажів"""
5. 🚀 Початок продажів,Подкатегория,Система чайових в гривнях,18,"Статья подкатегории в разделе ""5. 🚀 Початок продажів"""
6. 💰 Отримання виплат,Главная статья,Отримання виплат від BlackSea на українські карти,0,"Основная статья категории ""6. 💰 Отримання виплат"""
6. 💰 Отримання виплат,Подкатегория,ПДВ в Україні: робота з податковою,1,"Статья подкатегории в разделе ""6. 💰 Отримання виплат"""
6. 💰 Отримання виплат,Подкатегория,Чи видає BlackSea довідки про доходи для ФОП?,2,"Статья подкатегории в разделе ""6. 💰 Отримання виплат"""
6. 💰 Отримання виплат,Подкатегория,Робота з гривнею та валютним законодавством,3,"Статья подкатегории в разделе ""6. 💰 Отримання виплат"""
6. 💰 Отримання виплат,Подкатегория,Комісії BlackSea для українських користувачів,4,"Статья подкатегории в разделе ""6. 💰 Отримання виплат"""
6. 💰 Отримання виплат,Подкатегория,Податки з продажів згідно з КПК України,5,"Статья подкатегории в разделе ""6. 💰 Отримання виплат"""
6. 💰 Отримання виплат,Подкатегория,FAQ з блокування акаунтів,6,"Статья подкатегории в разделе ""6. 💰 Отримання виплат"""
6. 💰 Отримання виплат,Подкатегория,Боротьба з шахрайством на українському ринку,7,"Статья подкатегории в разделе ""6. 💰 Отримання виплат"""
6. 💰 Отримання виплат,Подкатегория,"Monobank, PrivatBank та інші українські банки",8,"Статья подкатегории в разделе ""6. 💰 Отримання виплат"""
6. 💰 Отримання виплат,Подкатегория,Панель виплат з інтеграцією українських банків,9,"Статья подкатегории в разделе ""6. 💰 Отримання виплат"""
6. 💰 Отримання виплат,Подкатегория,Додавання LiqPay до оформлення замовлень,10,"Статья подкатегории в разделе ""6. 💰 Отримання виплат"""
6. 💰 Отримання виплат,Подкатегория,Затримки виплат через війну в Україні,11,"Статья подкатегории в разделе ""6. 💰 Отримання виплат"""
6. 💰 Отримання виплат,Подкатегория,Шахрайські покупки на українському ринку,12,"Статья подкатегории в разделе ""6. 💰 Отримання виплат"""
6. 💰 Отримання виплат,Подкатегория,Непрямі податки через BlackSea Discovery,13,"Статья подкатегории в разделе ""6. 💰 Отримання виплат"""
6. 💰 Отримання виплат,Подкатегория,Підключення рахунків українських банків,14,"Статья подкатегории в разделе ""6. 💰 Отримання виплат"""
6. 💰 Отримання виплат,Подкатегория,Робота з системами електронних грошей в Україні,15,"Статья подкатегории в разделе ""6. 💰 Отримання виплат"""
6. 💰 Отримання виплат,Подкатегория,Валютне декларування для ФОП,16,"Статья подкатегории в разделе ""6. 💰 Отримання виплат"""
7. ⚙️ Розширені функції,Главная статья,Видалення акаунту BlackSea,0,"Основная статья категории ""7. ⚙️ Розширені функції"""
7. ⚙️ Розширені функції,Подкатегория,Ліцензійні ключі та авторські права,1,"Статья подкатегории в разделе ""7. ⚙️ Розширені функції"""
7. ⚙️ Розширені функції,Подкатегория,Інтеграції з українськими сервісами,2,"Статья подкатегории в разделе ""7. ⚙️ Розширені функції"""
7. ⚙️ Розширені функції,Подкатегория,Промокоди та знижки в гривнях,3,"Статья подкатегории в разделе ""7. ⚙️ Розширені функції"""
7. ⚙️ Розширені функції,Подкатегория,Водяні знаки та захист PDF,4,"Статья подкатегории в разделе ""7. ⚙️ Розширені функції"""
7. ⚙️ Розширені функції,Подкатегория,Персоналізовані форми оплати,5,"Статья подкатегории в разделе ""7. ⚙️ Розширені функції"""
7. ⚙️ Розширені функції,Подкатегория,Налаштування власного українського домену,6,"Статья подкатегории в разделе ""7. ⚙️ Розширені функції"""
7. ⚙️ Розширені функції,Подкатегория,Інтеграція з українською аналітикою,7,"Статья подкатегории в разделе ""7. ⚙️ Розширені функції"""
7. ⚙️ Розширені функції,Подкатегория,Рейтинги та відгуки українською мовою,8,"Статья подкатегории в разделе ""7. ⚙️ Розширені функції"""
7. ⚙️ Розширені функції,Подкатегория,SEO параметри для українського ринку,9,"Статья подкатегории в разделе ""7. ⚙️ Розширені функції"""
7. ⚙️ Розширені функції,Подкатегория,Створення API для інтеграцій,10,"Статья подкатегории в разделе ""7. ⚙️ Розширені функції"""
7. ⚙️ Розширені функції,Подкатегория,Відключення третьосторонніх трекерів,11,"Статья подкатегории в разделе ""7. ⚙️ Розширені функції"""
7. ⚙️ Розширені функції,Подкатегория,Верифікація Facebook для українських брендів,12,"Статья подкатегории в разделе ""7. ⚙️ Розширені функції"""
7. ⚙️ Розширені функції,Подкатегория,Інтеграція з українськими сервісами доставки,13,"Статья подкатегории в разделе ""7. ⚙️ Розширені функції"""
7. ⚙️ Розширені функції,Подкатегория,Доступність для людей з інвалідністю,14,"Статья подкатегории в разделе ""7. ⚙️ Розширені функції"""
7. ⚙️ Розширені функції,Подкатегория,Командна робота та ролі,15,"Статья подкатегории в разделе ""7. ⚙️ Розширені функції"""
7. ⚙️ Розширені функції,Подкатегория,Модерація контенту згідно з українськими нормами,16,"Статья подкатегории в разделе ""7. ⚙️ Розширені функції"""
8. 🎯 Зв'язок із службою підтримки,Главная статья,Як зв'язатися з підтримкою BlackSea,0,"Основная статья категории ""8. 🎯 Зв'язок із службою підтримки"""
8. 🎯 Зв'язок із службою підтримки,Подкатегория,Політика повернень BlackSea,1,"Статья подкатегории в разделе ""8. 🎯 Зв'язок із службою підтримки"""
8. 🎯 Зв'язок із службою підтримки,Подкатегория,Підтримувані браузери та системи,2,"Статья подкатегории в разделе ""8. 🎯 Зв'язок із службою підтримки"""
8. 🎯 Зв'язок із службою підтримки,Подкатегория,Партнери BlackSea в Україні,3,"Статья подкатегории в разделе ""8. 🎯 Зв'язок із службою підтримки"""
8. 🎯 Зв'язок із службою підтримки,Подкатегория,Як поскаржитися на продавця,4,"Статья подкатегории в разделе ""8. 🎯 Зв'язок із службою підтримки"""
8. 🎯 Зв'язок із службою підтримки,Подкатегория,DMCA та захист авторських прав в Україні,5,"Статья подкатегории в разделе ""8. 🎯 Зв'язок із службою підтримки"""
8. 🎯 Зв'язок із службою підтримки,Подкатегория,Робота служби підтримки в умовах війни,6,"Статья подкатегории в разделе ""8. 🎯 Зв'язок із службою підтримки"""
9. 📈 Маркетинг та просування,Главная статья,Інтеграція BlackSea в українські веб-сайти,0,"Основная статья категории ""9. 📈 Маркетинг та просування"""
9. 📈 Маркетинг та просування,Подкатегория,Проблеми з доставкою email в Україні,1,"Статья подкатегории в разделе ""9. 📈 Маркетинг та просування"""
9. 📈 Маркетинг та просування,Подкатегория,Автоматичні email-кампанії українською,2,"Статья подкатегории в разделе ""9. 📈 Маркетинг та просування"""
9. 📈 Маркетинг та просування,Подкатегория,Відправка оновлень електронною поштою,3,"Статья подкатегории в разделе ""9. 📈 Маркетинг та просування"""
9. 📈 Маркетинг та просування,Подкатегория,Створення української розсилки новин,4,"Статья подкатегории в разделе ""9. 📈 Маркетинг та просування"""
9. 📈 Маркетинг та просування,Подкатегория,Партнерська програма для українського ринку,5,"Статья подкатегории в разделе ""9. 📈 Маркетинг та просування"""
9. 📈 Маркетинг та просування,Подкатегория,SMM стратегії для українських соцмереж,6,"Статья подкатегории в разделе ""9. 📈 Маркетинг та просування"""
9. 📈 Маркетинг та просування,Подкатегория,SEO оптимізація для українських пошукових систем,7,"Статья подкатегории в разделе ""9. 📈 Маркетинг та просування"""
10. 🧾 Чеки та повернення,Главная статья,Українські чеки та документооборот на BlackSea,0,"Основная статья категории ""10. 🧾 Чеки та повернення"""
10. 🧾 Чеки та повернення,Подкатегория,Як отримати повернення згідно з українським правом?,1,"Статья подкатегории в разделе ""10. 🧾 Чеки та повернення"""
10. 🧾 Чеки та повернення,Подкатегория,Потрібен рахунок-фактура для бухгалтерії,2,"Статья подкатегории в разделе ""10. 🧾 Чеки та повернення"""
10. 🧾 Чеки та повернення,Подкатегория,Повернення ПДВ для українських організацій,3,"Статья подкатегории в разделе ""10. 🧾 Чеки та повернення"""
10. 🧾 Чеки та повернення,Подкатегория,Електронні чеки згідно з українським законодавством,4,"Статья подкатегории в разделе ""10. 🧾 Чеки та повернення"""
10. 🧾 Чеки та повернення,Подкатегория,Не отримав чек на українську електронну пошту,5,"Статья подкатегории в разделе ""10. 🧾 Чеки та повернення"""
10. 🧾 Чеки та повернення,Подкатегория,Документи для звітності ФОП,6,"Статья подкатегории в разделе ""10. 🧾 Чеки та повернення"""
11. ⚠️ Вирішення проблем,Главная статья,Моя покупка не завантажується,0,"Основная статья категории ""11. ⚠️ Вирішення проблем"""
11. ⚠️ Вирішення проблем,Подкатегория,Як скасувати підписку згідно з українським правом?,1,"Статья подкатегории в разделе ""11. ⚠️ Вирішення проблем"""
11. ⚠️ Вирішення проблем,Подкатегория,Проблеми з якістю або змістом продукту,2,"Статья подкатегории в разделе ""11. ⚠️ Вирішення проблем"""
11. ⚠️ Вирішення проблем,Подкатегория,Як зв'язатися з українською підтримкою BlackSea?,3,"Статья подкатегории в разделе ""11. ⚠️ Вирішення проблем"""
11. ⚠️ Вирішення проблем,Подкатегория,Чому з мене списали 1 грн від BlackSea?,4,"Статья подкатегории в разделе ""11. ⚠️ Вирішення проблем"""
11. ⚠️ Вирішення проблем,Подкатегория,Об'єднання кількох акаунтів,5,"Статья подкатегории в разделе ""11. ⚠️ Вирішення проблем"""
11. ⚠️ Вирішення проблем,Подкатегория,Не отримую оновлення на українську пошту,6,"Статья подкатегории в разделе ""11. ⚠️ Вирішення проблем"""
11. ⚠️ Вирішення проблем,Подкатегория,Незрозумілі списання з української картки,7,"Статья подкатегории в разделе ""11. ⚠️ Вирішення проблем"""
11. ⚠️ Вирішення проблем,Подкатегория,Як видалити дані картки з BlackSea?,8,"Статья подкатегории в разделе ""11. ⚠️ Вирішення проблем"""
11. ⚠️ Вирішення проблем,Подкатегория,Додаткові комісії українських банків,9,"Статья подкатегории в разделе ""11. ⚠️ Вирішення проблем"""
11. ⚠️ Вирішення проблем,Подкатегория,Помилкові регулярні списання,10,"Статья подкатегории в разделе ""11. ⚠️ Вирішення проблем"""
11. ⚠️ Вирішення проблем,Подкатегория,Проблеми з доступом під час відключень електроенергії,11,"Статья подкатегории в разделе ""11. ⚠️ Вирішення проблем"""
11. ⚠️ Вирішення проблем,Подкатегория,Робота з BlackSea в умовах воєнного стану,12,"Статья подкатегории в разделе ""11. ⚠️ Вирішення проблем"""
